CSFII 1994-96 Food Code	Food Description in 1994-96 CSFII	GI Value	Value used in DHQ database
11830980	"Protein supplement, milk-based, powdered, not reconstituted"		
11830990	"Nutrient supplement, milk-based, powdered, not reconstituted"		
11831500	"Nutrient supplement, milk-based, high protein, powdered, not reconstituted"	49	X
11832000	"Meal replacement, protein type, milk- and soy-based, powdered, not reconstituted"		
11832500	"Meal replacement, protein type, milk-based, with sugar and artificial sweetener, not reconstituted"		
11835000	"Meal replacement or nutritional supplement, Cambridge diet formula, powdered, nonfat milk solids base, dry, not recon- stituted"		
11835100	"Meal replacement, Amway's Nutrilite brand Positrim Drink Mix, powdered nonfat dry milk-based, dry, not reconstituted"		
11835150	"Dynatrim, meal replacement, powder"		
11835200	"Lose-it (Nanci), meal replacement, powder"		
11840100	"Milk, Tiger's, dry, not reconstituted"		
11841100	"Milk beverage beads, not chocolate, not reconstituted"		
11841110	"Milk beverage beads, chocolate, not reconstituted"		
11940100	"Nutramigen, dry, not reconstituted"		
12100100	"Cream, NS as to light, heavy, or half and half"	27	X
12110100	"Cream, light, fluid"	27	X
12110300	"Cream, light, whipped, unsweetened"	27	X
12120100	"Cream, half and half"	27	X
12130100	"Cream, heavy, fluid"	27	X
12130200	"Cream, heavy, whipped, unsweetened"		
12140000	"Cream, heavy, whipped, sweetened"	55.4	X
12140100	"Cream, whipped, pressurized container"	55.4	X
12200100	"Cream substitute, NS as to frozen, liquid, or powdered"	27	X
12210100	"Cream substitute, frozen"	27	X
12210200	"Cream substitute, liquid"	27	X
12210250	"Cream substitute, light, liquid"	27	X
12210400	"Cream substitute, powdered"	27	X
12210410	"Cream substitute, light, powdered"	27	X
12220000	"Whipped topping, nondairy, NS as to canned, frozen, or made from powdered mix"	55.4	X
12220100	"Whipped topping, nondairy, pressurized can"	55.4	X
12220200	"Whipped topping, nondairy, frozen"	55.4	X
12220250	"Whipped topping, nondairy, frozen, lowfat"	55.4	X
12220300	"Whipped cream substitute, nondairy, made from powdered mix"	55.4	X
12220400	"Whipped cream substitute, nondairy, lowfat, low sugar, made from powdered mix"	55.4	X
12310100	Sour cream	27	X
12310200	"Sour cream, half and half"	27	X
12310300	"Sour cream, reduced fat"	27	X
12310350	"Sour cream, light"	27	X
12310370	"Sour cream, fat free"	32	X
12320100	"Sour cream, imitation (nondairy)"	Null	X
12320200	"Sour cream, filled, sour dressing, nonbutterfat"	Null	X
12350000	"Dip, sour cream base"	27	X
12350020	"Dip, sour cream base, reduced calorie"	27	X
12350100	"Spinach dip, sour cream base"	27	X
13110000	"Ice cream, NFS"	61	X
13110100	"Ice cream, regular, flavors other than chocolate"	61	X
13110110	"Ice cream, regular, chocolate"	61	X
13110120	"Ice cream, rich, flavors other than chocolate"	38	X
13110130	"Ice cream, rich, chocolate"	37	X
13110140	"Ice cream, rich, NS as to flavor"		
13110200	"Ice cream, soft serve, flavors other than chocolate"	61	X
13110210	"Ice cream, soft serve, chocolate"	61	X
13110220	"Ice cream, soft serve, NS as to flavor"	61	X
13110400	"Milk dessert, frozen, flavors other than chocolate (no butterfat)"	61	X
13110450	"Milk dessert, frozen, chocolate (no butterfat)"	61	X
13120050	"Ice cream bar or stick, not chocolate covered or cake covered"	61	X
13120100	"Ice cream bar or stick, chocolate covered"	Null	X
13120110	"Ice cream bar or stick, chocolate or caramel covered, with nuts"	Null	X
13120120	"Ice cream bar or stick, rich chocolate ice cream, thick chocolate covering"	Null	X
13120121	"Ice cream bar or stick, rich ice cream, thick chocolate covering"	Null	X
13120130	"Ice cream bar or stick, rich ice cream, chocolate covered, with nuts"	Null	X
13120140	"Ice cream bar or stick, chocolate ice cream, chocolate covered"	Null	X
13120300	"Ice cream bar, cake covered"	Null	X
13120400	Ice cream bar or stick with fruit		
13120500	Ice cream sandwich	Null	X
13120550	Ice cream cookie sandwich	Null	X
13120700	"Ice cream cone with nuts, flavors other than chocolate"	Null	X
